"","CARREIRA","CARGO","occupation_native","occupation_english"
"57","TECNICO EM EDUCACAO COOPE","TECNICO EM EDUCACAO COOPE","tecnico em educacao coope","coope education technical"
"58","ARQUITETO","ARQUITETO","arquiteto","architect"
"59","EDUCADOR SOCIAL","EDUCADOR SOCIAL","educador social","social educator"
"60","SERVICOS GERIAS","SERVICOS GERIAS","servicos gerias","gerias services"
"61","CONTADOR","CONTADOR","contador","counter"
"62","OPERADOR DE COMPUTADOR","OPERADOR DE COMPUTADOR","operador de computador","computer operator"
"63","AUXILIAR DE ENFERMAGEM","AUXILIAR DE ENFERMAGEM","auxiliar de enfermagem","nursing assistant"
"64","TECNICO RECURSOS HUMANOS","TECNICO RECURSOS HUMANOS","tecnico recursos humanos","technical human resources"
"65","TECNICO DE ESPORTE E LAZE","TECNICO DE ESPORTE E LAZE","tecnico de esporte e laze","sports technician and laze"
"66","TECNICO DE DESENVOLVIMENT","TECNICO DE DESENVOLVIMENT","tecnico de desenvolviment","development technician"
"67","TECNICO DE ORGANIZACAO","TECNICO DE ORGANIZACAO","tecnico de organizacao","organizational technician"
"68","INSTRUTOR APRENDIZAGEM TR","INSTRUTOR APRENDIZAGEM TR","instrutor aprendizagem tr","tr learning instructor"
"69","ORIENTADOR EDUCACIONAL *","ORIENTADOR EDUCACIONAL *","orientador educacional *","educational advisor *"
"70","TECNICO DE EDUCACAO *","TECNICO DE EDUCACAO *","tecnico de educacao *","education technician *"
"71","ECONOMISTA","ECONOMISTA","economista","economist"
"72","AGRONOMO","AGRONOMO","agronomo","agronomist"
"73","MEDICO VETERINARIO","MEDICO VETERINARIO","medico veterinario","veterinary doctor"
"74","TECNICO AGRICOLA","TECNICO AGRICOLA","tecnico agricola","agriculture technician"
"75","TECNICO DE ESTATISTICA","TECNICO DE ESTATISTICA","tecnico de estatistica","statistical technician"
"76","INSPETOR DE SANEAMENTO *","INSPETOR DE SANEAMENTO *","inspetor de saneamento *","sanitation inspector *"
"77","OF DE APOIO TECNICO N-VI","OF DE APOIO TECNICO N-VI","of de apoio tecnico n-vi","of technician support n-vi"
"78","TRABALHADOR RURAL","TRABALHADOR RURAL","trabalhador rural","rural worker"
"79","AUX SERVICOS DIVERSOS","AUX SERVICOS DIVERSOS","aux servicos diversos","aux various services"
"80","TRATORISTA","TRATORISTA","tratorista","tractorist"
"81","FISCAL DE TRIBUTOS ESTADU","FISCAL DE TRIBUTOS ESTADU","fiscal de tributos estadu","tax tax"
"82","TEC DE ESTATISTICA N-VI","TEC DE ESTATISTICA N-VI","tec de estatistica n-vi","n-vi statistical tec"
"83","AGENTE CONTROLADOR DE ARR","AGENTE CONTROLADOR DE ARR","agente controlador de arr","arr controlling agent"
"84","DIGITADOR","DIGITADOR","digitador","typist"
"85","TEC CONTABILIDADE","TEC CONTABILIDADE","tec contabilidade","tec accounting"
"86","TECNICO EM FINANCAS IV","TECNICO EM FINANCAS IV","tecnico em financas iv","technical in finances iv"
"87","ASSESSOR ECONOMICO ORCAME","ASSESSOR ECONOMICO ORCAME","assessor economico orcame","economic advisor orcame"
"88","MECANOGRAFO","MECANOGRAFO","mecanografo","mechanographer"
"89","INPS SANEAMENTO NIVEL V","INPS SANEAMENTO NIVEL V","inps saneamento nivel v","inps sanitation level v"
"90","VOGAL","VOGAL","vogal","vowel"
"91","ASSES.TEC. ADMINISTRAT.","ASSES.TEC. ADMINISTRAT.","asses.tec. administrat.","asses.tec. administrat."
"92","SECRETARIO EXECUTIVO","SECRETARIO EXECUTIVO","secretario executivo","executive secretary"
"93","ASSIST DE ADMINISTRACAO","ASSIST DE ADMINISTRACAO","assist de administracao","administration assist"
"94","ADM DE EDIFICIO","ADM DE EDIFICIO","adm de edificio","edific adm"
"95","SOCIOLOGO","SOCIOLOGO","sociologo","sociologist"
"96","AST SERV ADMINISTRATIVOS","AST SERV ADMINISTRATIVOS","ast serv administrativos","ast administrative ast"
"97","ADMINISTRADOR","ADMINISTRADOR","administrador","administrator"
"98","MONITOR","MONITOR","monitor","monitor"
"99","ASSESSOR DE SERVICOS ADMI","ASSESSOR DE SERVICOS ADMI","assessor de servicos admi","adi servicos advisor"
"100","AUXILIAR PROGRAMADOR INDU","AUXILIAR PROGRAMADOR INDU","auxiliar programador indu","indu programer assistant"
"101","PROFESSOR","PROFESSOR","professor","teacher"
"102","TECN EM ESPORTE E LAZER","TECN EM ESPORTE E LAZER","tecn em esporte e lazer","tecn in sport and leisure"
"103","ADMINISTRADOR ESCOLAR","ADMINISTRADOR ESCOLAR","administrador escolar","school administrator"
"104","SUPERVISOR ESCOLAR","SUPERVISOR ESCOLAR","supervisor escolar","school supervisor"
"105","PROF CATEDRATICO","PROF CATEDRATICO","prof catedratico","prof catdratico"
"106","ESTATISTICO","ESTATISTICO","estatistico","statistical"
"107","PROFESSOR ATIVIDADES","PROFESSOR ATIVIDADES","professor atividades","teacher activities"
"108","DOCENTE","DOCENTE","docente","teacher"
"109","AUX SERV DIV NIVEL II","AUX SERV DIV NIVEL II","aux serv div nivel ii","aux serv div nivel ii"
"110","ARQUIVISTA","ARQUIVISTA","arquivista","archivist"
"111","ORIENTADOR EDUCACIONAL","ORIENTADOR EDUCACIONAL","orientador educacional","educational advisor"
"112","SERVICO SOCIAL","SERVICO SOCIAL","servico social","social service"
"113","AG ADMINISTRATIVO","AG ADMINISTRATIVO","ag administrativo","ag administrative"
"114","FOTOGRAFO","FOTOGRAFO","fotografo","photographer"
"115","SUPERV APOIO TECNICO","SUPERV APOIO TECNICO","superv apoio tecnico","superv technical support"
"116","ASSESSOR DE PLANEJAMENTO","ASSESSOR DE PLANEJAMENTO","assessor de planejamento","planning advisor"
"117","TEC DE ESTATISTICA","TEC DE ESTATISTICA","tec de estatistica","statistical tec"
"118","ASSESSOR DE ASSUNTOS TECN","ASSESSOR DE ASSUNTOS TECN","assessor de assuntos tecn","tecn affairs advisor"
"119","COORDENADOR DE APOIO TECN","COORDENADOR DE APOIO TECN","coordenador de apoio tecn","tecn support coordinator"
"120","ORIENTADOR EM ESP E LAZER","ORIENTADOR EM ESP E LAZER","orientador em esp e lazer","esp and leisure advisor"
"121","TECNICO LABORATORIO","TECNICO LABORATORIO","tecnico laboratorio","laboratory technician"
"122","AUXILIAR LABORATORIO","AUXILIAR LABORATORIO","auxiliar laboratorio","laboratory assistant"
"123","TECNICO DE ENFERMAGEM","TECNICO DE ENFERMAGEM","tecnico de enfermagem","nursing technician"
"124","ENFERMEIRO","ENFERMEIRO","enfermeiro","nurse"
"125","ARTIFICE ESPECIALIZADO","ARTIFICE ESPECIALIZADO","artifice especializado","specialized artifice"
"126","BIOMEDICO","BIOMEDICO","biomedico","biomedical"
"127","FUNC ADM MUNICIPAL","FUNC ADM MUNICIPAL","func adm municipal","func adm municipal"
"128","AUX DE SERVICOS DE SAUDE","AUX DE SERVICOS DE SAUDE","aux de servicos de saude","health services aid"
"129","DATILOGRAFO","DATILOGRAFO","datilografo","typist"
"130","TERAPEUTA OCUPACIONAL","TERAPEUTA OCUPACIONAL","terapeuta ocupacional","occupational therapist"
"131","ADMINISTRACAO","ADMINISTRACAO","administracao","administration"
"132","BIOQUIMICO","BIOQUIMICO","bioquimico","biochemical"
"133","TECNOLOGO EM BOVINCULTURA","TECNOLOGO EM BOVINCULTURA","tecnologo em bovincultura","technologist in cattle"
"134","ANALISTA DE SISTEMA","ANALISTA DE SISTEMA","analista de sistema","system analyst"
"135","TECNICO EM SANEAMENTO BAS","TECNICO EM SANEAMENTO BAS","tecnico em saneamento bas","bas sanitation technician"
"136","MECANICO","MECANICO","mecanico","mechanic"
"137","TECNICO DE AGRIMENSURA","TECNICO DE AGRIMENSURA","tecnico de agrimensura","surveying technician"
"138","PARTEIRA","PARTEIRA","parteira","midwife"
"139","FARMACEUTICO","FARMACEUTICO","farmaceutico","pharmaceutical"
"140","BROMATOLOGISTA","BROMATOLOGISTA","bromatologista","bromatologist"
"141","ASSISTENTE TECNICO DE ASS","ASSISTENTE TECNICO DE ASS","assistente tecnico de ass","assistant technical assistant"
"142","PESQ DE INF SOCIAIS","PESQ DE INF SOCIAIS","pesq de inf sociais","inf social pesq"
"143","ENCA.DE MANUT.DE EDIFICIO","ENCA.DE MANUT.DE EDIFICIO","enca.de manut.de edificio","rede.de main.de edificio"
"144","TECNICO DE RADIOLOGIA","TECNICO DE RADIOLOGIA","tecnico de radiologia","radiology technician"
"145","ATEND DE ENFERMAGEM N-V","ATEND DE ENFERMAGEM N-V","atend de enfermagem n-v","nursing apost n-v"
"146","BIOLOGO","BIOLOGO","biologo","biologist"
"147","ASSIST ADMINISTRATIVO","ASSIST ADMINISTRATIVO","assist administrativo","administrative assist"
"148","OP EQUIP MEDICOS E ASSEM","OP EQUIP MEDICOS E ASSEM","op equip medicos e assem","op equip medicals and are"
"149","COZINHEIRO NIVEL III","COZINHEIRO NIVEL III","cozinheiro nivel iii","level cook iii"
"150","COSTUREIRO NIVEL III","COSTUREIRO NIVEL III","costureiro nivel iii","nuvel iii couturier"
"151","TECNICO FOTO-LEITOR","TECNICO FOTO-LEITOR","tecnico foto-leitor","photo-reader technician"
"152","CARCEREIRO","CARCEREIRO","carcereiro","jailer"
"153","AGENTE DE POLICIA","AGENTE DE POLICIA","agente de policia","police officer"
"154","AGENTE POLICIAL MOTORISTA","AGENTE POLICIAL MOTORISTA","agente policial motorista","driver police officer"
"155","POLICIA FEMININA","POLICIA FEMININA","policia feminina","female police"
"156","ESCRIVAO DE POLICIA","ESCRIVAO DE POLICIA","escrivao de policia","police writing"
"157","DELEGADO DE CARREIRA","DELEGADO DE CARREIRA","delegado de carreira","career delegate"
"158","ADMINISTRATIVA","ADMINISTRATIVA","administrativa","administrative"
"159","PERITO CRIMINAL","PERITO CRIMINAL","perito criminal","criminal expert"
"160","OPERADOR DE RADIO","OPERADOR DE RADIO","operador de radio","radio operator"
"161","ESCREVENTE POLICIAL","ESCREVENTE POLICIAL","escrevente policial","police scribe"
"162","CONS P/ASSUNT CRIMINAL","CONS P/ASSUNT CRIMINAL","cons p/assunt criminal","cons for criminal assunt"
"163","PERITO POLICIAL DE LOCAL","PERITO POLICIAL DE LOCAL","perito policial de local","local police expert"
"164","FISCAL DE GUARDA-PRESIDIO","FISCAL DE GUARDA-PRESIDIO","fiscal de guarda-presidio","supervisor"
"165","PERITO MEDICO LEGAL","PERITO MEDICO LEGAL","perito medico legal","legal medical expert"
"166","GUARDA DE PRESIDIO","GUARDA DE PRESIDIO","guarda de presidio","prisoner"
"167","AUXILIAR DE NECROPSIA","AUXILIAR DE NECROPSIA","auxiliar de necropsia","necropsy assistant"
"168","REDATOR","REDATOR","redator","editor"
"169","JORNALISTA","JORNALISTA","jornalista","journalist"
"170","PROFESSOR DE MUSICA","PROFESSOR DE MUSICA","professor de musica","music teacher"
"171","MAITRE DE BALLET","MAITRE DE BALLET","maitre de ballet","ballet maitre"
"172","BAILARINO","BAILARINO","bailarino","dancer"
"173","ASSISTENTE TECNICO I","ASSISTENTE TECNICO I","assistente tecnico i","technical assistant i"
"174","PESQUISADOR CULTURAL","PESQUISADOR CULTURAL","pesquisador cultural","cultural researcher"
"175","MUSICO","MUSICO","musico","musician"
"176","AUXILIAR ODONTOLOGICO","AUXILIAR ODONTOLOGICO","auxiliar odontologico","dental assistant"
"177","BIBLIOTECARIO","BIBLIOTECARIO","bibliotecario","librarian"
"178","ASSISTENTE TECNICO","ASSISTENTE TECNICO","assistente tecnico","technical assistant"
"179","ASSISTENTE ADMINISTRATIVO","ASSISTENTE ADMINISTRATIVO","assistente administrativo","administrative assistant"
"180","INSPETOR DE REGISTRO DE C","INSPETOR DE REGISTRO DE C","inspetor de registro de c","c registry inspector"
"181","PROCURADOR JUNTA COMERCIA","PROCURADOR JUNTA COMERCIA","procurador junta comercia","prosecutor junta"
"182","PROGRAMADOR INDUSTRIAL","PROGRAMADOR INDUSTRIAL","programador industrial","industrial programmer"
"183","EDUCADOR AMBIENTAL","EDUCADOR AMBIENTAL","educador ambiental","environmental educator"
"184","TECNICO EM CADASTRO COMER","TECNICO EM CADASTRO COMER","tecnico em cadastro comer","technical in registration eat"
"185","INSPETOR AUXILIAR DE REGI","INSPETOR AUXILIAR DE REGI","inspetor auxiliar de regi","auxiliary inspector of regi"
"186","ADVOGADO","ADVOGADO","advogado","attorney"
"187","SECRETARIA","SECRETARIA","secretaria","secretary"
"188","ASSESSOR JURIDICO","ASSESSOR JURIDICO","assessor juridico","juridical advisor"
"189","ASSISTENTE DE VENDAS","ASSISTENTE DE VENDAS","assistente de vendas","sales assistant"
"190","CLASSE DE PROD VEGETAIS","CLASSE DE PROD VEGETAIS","classe de prod vegetais","prod vegetable class"
"191","ENGENHEIRO AGRONOMO","ENGENHEIRO AGRONOMO","engenheiro agronomo","agronomer engineer"
"192","OPERADOR DE MAQ AGRICOL","OPERADOR DE MAQ AGRICOL","operador de maq agricol","agricol maq operator"
"193","PEDREIRO","PEDREIRO","pedreiro","mason"
"194","CONFERENTE DE ARMAZEM","CONFERENTE DE ARMAZEM","conferente de armazem","warehouse"
"195","PROGR DE COMPUTADOR","PROGR DE COMPUTADOR","progr de computador","computer"
"196","AUXILIAR DE MECANICO","AUXILIAR DE MECANICO","auxiliar de mecanico","mechanical assistant"
"197","SUPERVISOR DE SEGURANCA","SUPERVISOR DE SEGURANCA","supervisor de seguranca","safety supervisor"
"198","ENGENHEIRO MECANICO","ENGENHEIRO MECANICO","engenheiro mecanico","mechanical engineer"
"199","SOLDADOR","SOLDADOR","soldador","welder"
"200","MONTADOR","MONTADOR","montador","assembler"
"201","AUXILIAR DE CAMPO","AUXILIAR DE CAMPO","auxiliar de campo","field assistant"
"202","ASSIST TECNICO","ASSIST TECNICO","assist tecnico","assist technician"
"203","GEOGRAFO","GEOGRAFO","geografo","geographer"
"204","CONTINUO","CONTINUO","continuo","continuous"
"205","COMUNICOLOGO","COMUNICOLOGO","comunicologo","communicologist"
"206","TOPOGRAFO","TOPOGRAFO","topografo","topographer"
"207","FISCAL DE OBRAS","FISCAL DE OBRAS","fiscal de obras","works tax"
"208","AUX ADMINISTRATIVO","AUX ADMINISTRATIVO","aux administrativo","aux administrative"
"209","ADM DE CONJUNTO","ADM DE CONJUNTO","adm de conjunto","adm of set"
"210","SERVENTE","SERVENTE","servente","servant"
"211","MESTRE DE OFICINA","MESTRE DE OFICINA","mestre de oficina","workshop"
"212","PENSIONISTA","PENSIONISTA","pensionista","pensioner"
"213","ENGENHEIRO RODOVIARIO","ENGENHEIRO RODOVIARIO","engenheiro rodoviario","highway engineer"
"214","AUX.DE SERVICO DE ENGENHA","AUX.DE SERVICO DE ENGENHA","aux.de servico de engenha","aux.de engenha"
"215","OPERADOR RODOVIARIO","OPERADOR RODOVIARIO","operador rodoviario","highway operator"
"216","NIVELADOR RODOVIARIO","NIVELADOR RODOVIARIO","nivelador rodoviario","highlight"
"217","CONTABILISTA","CONTABILISTA","contabilista","accountant"
"218","OPERADOR DE MAQUINA RODOV","OPERADOR DE MAQUINA RODOV","operador de maquina rodov","rodov machine operator"
"219","RADIOTELEFONISTA","RADIOTELEFONISTA","radiotelefonista","radiotelephonist"
"220","FISCAL DE TRANSPORTE COLE","FISCAL DE TRANSPORTE COLE","fiscal de transporte cole","cole transportation inspector"
"221","MESTRE DE OBRA","MESTRE DE OBRA","mestre de obra","worker"
"222","TECNICO DE LABORATORIO RO","TECNICO DE LABORATORIO RO","tecnico de laboratorio ro","ro laboratory technician"
"223","AUXILIAR DE LABORATORIO R","AUXILIAR DE LABORATORIO R","auxiliar de laboratorio r","laboratory assistant r"
"224","TECNICO DE ESTRADAS","TECNICO DE ESTRADAS","tecnico de estradas","road technician"
"225","FEITOR RODOVIARIO","FEITOR RODOVIARIO","feitor rodoviario","highway"
"226","ENGENHARIA CIVIL","ENGENHARIA CIVIL","engenharia civil","civil engineering"
"227","PILOTO DE AERONAVE","PILOTO DE AERONAVE","piloto de aeronave","aircraft pilot"
"228","GEOLOGO","GEOLOGO","geologo","geologist"
"229","AUX DE SONDADOR","AUX DE SONDADOR","aux de sondador","probing aux"
"230","AUX TECNICO","AUX TECNICO","aux tecnico","technical aux"
"231","ELETROTECNICO","ELETROTECNICO","eletrotecnico","electrotechnical"
"232","TECNICO EM EDIFICACOES","TECNICO EM EDIFICACOES","tecnico em edificacoes","building technician"
"233","SONDADOR","SONDADOR","sondador","rigging"
"234","ENGENHEIRO QUIMICO","ENGENHEIRO QUIMICO","engenheiro quimico","chemical engineer"
"235","ADVOCACIA","ADVOCACIA","advocacia","advocacy"
"236","RECEPCIONISTA","RECEPCIONISTA","recepcionista","receptionist"
"237","ENGENHEIRO DE PESCA","ENGENHEIRO DE PESCA","engenheiro de pesca","fishing engineer"
"238","TECNICO EM CONTABILIDADE","TECNICO EM CONTABILIDADE","tecnico em contabilidade","technical in accounting"
"239","EXT AGRICOLA","EXT AGRICOLA","ext agricola","ext agricola"
"240","AUX ESC REGIONAL","AUX ESC REGIONAL","aux esc regional","aux esc regional"
"241","AUXILIAR DE BIBLIOTECA","AUXILIAR DE BIBLIOTECA","auxiliar de biblioteca","library assistant"
"242","EXT SOCIAL","EXT SOCIAL","ext social","exco social"
"243","AUXILIAR DE ESCRITORIO","AUXILIAR DE ESCRITORIO","auxiliar de escritorio","office assistant"
"244","PINTOR","PINTOR","pintor","painter"
"245","ESCRITURARIO","ESCRITURARIO","escriturario","clerk"
"246","LANTERNEIRO","LANTERNEIRO","lanterneiro","lantern"
"247","GUARDE SANITARIO","GUARDE SANITARIO","guarde sanitario","sanitario"
"248","AJUDANTE DE SERV GERAIS","AJUDANTE DE SERV GERAIS","ajudante de serv gerais","general servant assistant"
"249","AUXILIAR GRAFICO","AUXILIAR GRAFICO","auxiliar grafico","graph"
"250","OPERADOR COMPOSITOR","OPERADOR COMPOSITOR","operador compositor","composer operator"
"251","TEC EM AGRIMENSURAS","TEC EM AGRIMENSURAS","tec em agrimensuras","tec in surveying"
"252","AJUDANTE DE OFICINA","AJUDANTE DE OFICINA","ajudante de oficina","workshop"
"253","ELETRICISTA","ELETRICISTA","eletricista","electrician"
"254","ASSISTENTE EXECUTIVO","ASSISTENTE EXECUTIVO","assistente executivo","executive assistant"
"255","ZOOTECNISTA","ZOOTECNISTA","zootecnista","zootechnist"
"256","TEC CONT SUP S TRAB","TEC CONT SUP S TRAB","tec cont sup s trab","tec cont sup s trab"
"257","CONTINUO VIGILANTE","CONTINUO VIGILANTE","continuo vigilante","i am still vigilant"
"258","MESTRE RURAL","MESTRE RURAL","mestre rural","rural master"
"259","AUXILIAR RURAL","AUXILIAR RURAL","auxiliar rural","rural assistant"
"260","OPERADOR MAQ E VEICULO","OPERADOR MAQ E VEICULO","operador maq e veiculo","maq and vehicle operator"
"261","TECNOLOGO","TECNOLOGO","tecnologo","technologist"
"262","LABORATORISTA","LABORATORISTA","laboratorista","laboratory"
"263","PESQUISADOR","PESQUISADOR","pesquisador","researcher"
"264","AUX ADM","AUX ADM","aux adm","aux adm"
"265","ATENDENTE","ATENDENTE","atendente","attendant"
"266","TECNICO  EM TURISMO","TECNICO  EM TURISMO","tecnico  em turismo","tourism technician"
"267","ASSISTENTE DE TURISMO B","ASSISTENTE DE TURISMO B","assistente de turismo b","touring assistant b"
"268","RECEPCIONISTA A","RECEPCIONISTA A","recepcionista a","receptionist to"
"269","DESENHISTA","DESENHISTA","desenhista","designer"
"270","ADVOGADO DE FUND 2 CLASSE","ADVOGADO DE FUND 2 CLASSE","advogado de fund 2 classe","fund lawyer 2 class"
"271","PROFESSOR ADJUNTO","PROFESSOR ADJUNTO","professor adjunto","assistant teacher"
"272","OPER DE EQUIP MED E ASSEM","OPER DE EQUIP MED E ASSEM","oper de equip med e assem","equip -med oper and assem"
"273","PROFESSOR TITULAR","PROFESSOR TITULAR","professor titular","full professor"
"274","AUXILIAR DE FISIOTEREPIA","AUXILIAR DE FISIOTEREPIA","auxiliar de fisioterepia","physiotherapy assistant"
"275","PROFESSOR ASSISTENTE","PROFESSOR ASSISTENTE","professor assistente","assistant teacher"
"276","SUPERVISOR DE SEGURANCA D","SUPERVISOR DE SEGURANCA D","supervisor de seguranca d","safety supervisor d"
"277","FISIOTERAPEUTA","FISIOTERAPEUTA","fisioterapeuta","physiotherapist"
"278","COSTUREIRO","COSTUREIRO","costureiro","seamstress"
"279","COZINHEIRO","COZINHEIRO","cozinheiro","chef"
"280","AUXILIAR DE CONFERENCIA","AUXILIAR DE CONFERENCIA","auxiliar de conferencia","conference"
"281","RELACOES PUBLICAS","RELACOES PUBLICAS","relacoes publicas","public relations"
"282","TEC EM PLANEJAMENTO","TEC EM PLANEJAMENTO","tec em planejamento","tec in planning"
"283","DOCUMENTADOR","DOCUMENTADOR","documentador","documentary"
"284","TECNICO EM ESTATISTICA","TECNICO EM ESTATISTICA","tecnico em estatistica","statistical technician"
"285","AUX OPERADOR","AUX OPERADOR","aux operador","operator aux"
"286","DIRETOR DE PROGRAMACAO","DIRETOR DE PROGRAMACAO","diretor de programacao","programming director"
"287","PROFESSOR AUXILIAR","PROFESSOR AUXILIAR","professor auxiliar","assistant teacher"
"288","CENOTECNICO AUXILIAR","CENOTECNICO AUXILIAR","cenotecnico auxiliar","assistant cenotechnic"
"289","SONOPLASTA AUXILIAR","SONOPLASTA AUXILIAR","sonoplasta auxiliar","auxiliary sonlast"
"290","INSTRUTOR DE ARTES","INSTRUTOR DE ARTES","instrutor de artes","art instructor"
"291","ILUMINADOR","ILUMINADOR","iluminador","illuminator"
"292","OPERADOR DE RAIO X","OPERADOR DE RAIO X","operador de raio x","x -ray operator"
"293","AGENTE DE ADM LEG","AGENTE DE ADM LEG","agente de adm leg","adm leg agent"
"294","AUX DE ENGENHARIA","AUX DE ENGENHARIA","aux de engenharia","engineering aux"
"295","SERV. PREF. MUNICIPAL DE","SERV. PREF. MUNICIPAL DE","serv. pref. municipal de","serv. pref. municipal of"
"296","FUNCIONARIO DA ASSEMBLEIA","FUNCIONARIO DA ASSEMBLEIA","funcionario da assembleia","assembly employee"
"297","ENGENHEIRO FLORESTAL","ENGENHEIRO FLORESTAL","engenheiro florestal","forest engineer"
"298","CHEFE DE SERVICO","CHEFE DE SERVICO","chefe de servico","service chief"
"299","COORDENADOR","COORDENADOR","coordenador","coordinator"
"300","FUNCAO GRATIFICADA DS2","FUNCAO GRATIFICADA DS2","funcao gratificada ds2","gratified ds2 function"
"301","RECREADOR","RECREADOR","recreador","recreational"
